library	read_counts
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-M21_1.fastq.gz	25891686
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-J21_1.fastq.gz	25460783
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-M20_1.fastq.gz	28252385
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-HP-A20_2.fastq.gz	23545300
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-JV-A20_1.fastq.gz	22570222
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-J21_2.fastq.gz	26080500
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-M20_2.fastq.gz	20928493
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-GM-A20_1.fastq.gz	21674890
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-PL-M20_1.fastq.gz	20770721
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-J21_1.fastq.gz	26817564
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/Neg_control_2.fastq.gz	26007156
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-VA-M20_2.fastq.gz	23957966
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-J21_2.fastq.gz	26121654
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-A20_1.fastq.gz	23319026
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-M21_1.fastq.gz	20525498
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-A20_1.fastq.gz	20996508
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-M20_1.fastq.gz	23066546
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-J21_1.fastq.gz	27734476
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-VA-J21_1.fastq.gz	27996845
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-PL-J21_2.fastq.gz	26664806
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-GM-M20_2.fastq.gz	21338418
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-M20_2.fastq.gz	23244582
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-M21_2.fastq.gz	26228079
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-A20_1.fastq.gz	3604423
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-M21_1.fastq.gz	27850171
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-A20_2.fastq.gz	19820565
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-M20_2.fastq.gz	22224131
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-GM-M21_2.fastq.gz	27933964
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-RA-J21_1.fastq.gz	20230798
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-M20_2.fastq.gz	23164926
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JV-A20_1.fastq.gz	23019345
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-J21_2.fastq.gz	19465493
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-M20_2.fastq.gz	23285238
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-GM-A20_1.fastq.gz	23151461
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-M21_1.fastq.gz	19966431
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-GM-M20_1.fastq.gz	25204146
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-A20_2.fastq.gz	23183030
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-J21_1.fastq.gz	20327756
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-M21_1.fastq.gz	27053247
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-M20_2.fastq.gz	20403704
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-M21_2.fastq.gz	27358985
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-GM-M21_1.fastq.gz	26178430
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-M21_1.fastq.gz	21564800
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-M20_1.fastq.gz	19433156
